[30.12.2001] [11:55.02] - Connection from 127.0.0.1, request = "GET http://localhost/"
[30.12.2001] [11:55.08] - Connection from 127.0.0.1, request = "GET /"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET /"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET /top.html"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET /left.html"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET /main.html"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/cgi-bin/ads.new/left/ads_nonssi.pl?ID=ayanc&page=ayanc.01"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/cgi-bin/ads.new/right/ads_nonssi.pl?ID=ayanc&page=ayanc.01"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET /img/securitybuzz.gif"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/images/button.gif"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET /img/rfp.gif"
[30.12.2001] [11:56.11] - Connection from 127.0.0.1, request = "GET /img/packetstorm.gif"
[30.12.2001] [11:56.32] - Connection from 127.0.0.1, request = "GET /img/dogbomb.gif"
[30.12.2001] [11:56.37] - Connection from 127.0.0.1, request = "GET http://www.dogbomb.co.uk/"
[30.12.2001] [11:57.18] - Connection from 127.0.0.1, request = "GET /cgi-bin/trial.bat"
[30.12.2001] [11:57.26] - Connection from 127.0.0.1, request = "GET /cgi-bin/"
[30.12.2001] [11:57.30] - Connection from 127.0.0.1, request = "GET /cgi-bin"
[30.12.2001] [11:57.39] - Connection from 127.0.0.1, request = "GET /wonko/"
[30.12.2001] [11:57.39] - Connection from 127.0.0.1, request = "GET /top.html"
[30.12.2001] [11:57.39] - Connection from 127.0.0.1, request = "GET /left.html"
[30.12.2001] [11:57.39] - Connection from 127.0.0.1, request = "GET /wonko/wonko.html"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/cgi-bin/ads.new/left/ads_nonssi.pl?ID=ayanc&page=ayanc.01"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/cgi-bin/ads.new/right/ads_nonssi.pl?ID=ayanc&page=ayanc.01"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET /style.css"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/images/button.gif"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET /img/securitybuzz.gif"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET /img/rfp.gif"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET /img/packetstorm.gif"
[30.12.2001] [11:57.40] - Connection from 127.0.0.1, request = "GET /img/dogbomb.gif"
[30.12.2001] [11:57.57] - Connection from 127.0.0.1, request = "GET /k"
[30.12.2001] [11:58.12] - Connection from 127.0.0.1, request = "GET /trial.bat"
[30.12.2001] [12:05.08] - Connection from 127.0.0.1, request = "GET /"
[30.12.2001] [12:05.08] - Connection from 127.0.0.1, request = "GET /top.html"
[30.12.2001] [12:05.08] - Connection from 127.0.0.1, request = "GET /style.css"
[30.12.2001] [12:05.09] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/cgi-bin/ads.new/right/ads_nonssi.pl?ID=ayanc&page=ayanc.01"
[30.12.2001] [12:05.09] - Connection from 127.0.0.1, request = "GET /left.html"
[30.12.2001] [12:05.09] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/images/button.gif"
[30.12.2001] [12:05.09] - Connection from 127.0.0.1, request = "GET /img/securitybuzz.gif"
[30.12.2001] [12:05.09] - Connection from 127.0.0.1, request = "GET /img/rfp.gif"
[30.12.2001] [12:05.09] - Connection from 127.0.0.1, request = "GET /img/packetstorm.gif"
[30.12.2001] [12:05.09] - Connection from 127.0.0.1, request = "GET /img/dogbomb.gif"
[30.12.2001] [12:05.17] - Connection from 127.0.0.1, request = "GET /k/"
[30.12.2001] [12:05.51] - Connection from 127.0.0.1, request = "GET http://www.bannerco-op.com/cgi-bin/ads.new/left/ads_nonssi.pl?advert=NonSSI&page=ayanc.01"
[30.12.2001] [12:06.05] - Connection from 127.0.0.1, request = "GET /privacy.php"
[30.12.2001] [12:06.06] - Connection from 127.0.0.1, request = "GET /style.css"
[30.12.2001] [22:05.40] - Connection from 127.0.0.1, request = "GET /"
[30.12.2001] [22:05.52] - Connection from 127.0.0.1, request = "GET /cmderr.html"
[30.12.2001] [22:07.22] - Connection from 127.0.0.1, request = "GET /wwwboard.html"
[30.12.2001] [22:07.27] - Connection from 127.0.0.1, request = "GET /wwwboard.htm"
[30.12.2001] [22:07.29] - Connection from 127.0.0.1, request = "GET /wwwboard.htm"
[30.12.2001] [22:08.52] - Connection from 127.0.0.1, request = "GET /index.html"
[30.12.2001] [22:08.54] - Connection from 127.0.0.1, request = "GET /index.html.html"
[30.12.2001] [22:08.56] - Connection from 127.0.0.1, request = "GET /index.html.html"
[30.12.2001] [22:09.02] - Connection from 127.0.0.1, request = "GET /cgi-bin/"
[30.12.2001] [22:11.21] - Connection from 127.0.0.1, request = "GET /"
[30.12.2001] [22:11.21] - Connection from 127.0.0.1, request = "GET /light.jpg"
[30.12.2001] [22:11.24] - Connection from 127.0.0.1, request = "GET /"
[30.12.2001] [22:11.24] - Connection from 127.0.0.1, request = "GET /light.jpg"
[30.12.2001] [22:11.26] - Connection from 127.0.0.1, request = "GET /download.html"
[30.12.2001] [22:11.26] - Connection from 127.0.0.1, request = "GET /light.jpg"
[30.12.2001] [22:11.27] - Connection from 127.0.0.1, request = "GET /index.html"
[30.12.2001] [22:11.27] - Connection from 127.0.0.1, request = "GET /light.jpg"
[30.12.2001] [22:11.28] - Connection from 127.0.0.1, request = "GET /devel.html"
[30.12.2001] [22:12.32] - Connection from 127.0.0.1, request = "GET /download.html"
[30.12.2001] [22:12.32] - Connection from 127.0.0.1, request = "GET /light.jpg"
[30.12.2001] [22:12.39] - Connection from 127.0.0.1, request = "GET /index.html"
[30.12.2001] [22:12.39] - Connection from 127.0.0.1, request = "GET /light.jpg"
[30.12.2001] [22:12.39] - Connection from 127.0.0.1, request = "GET /download.html"
[30.12.2001] [22:12.39] - Connection from 127.0.0.1, request = "GET /light.jpg"
